ds,y,yhat,yhat_lower,yhat_upper
2014-01-03,16.448,1241.6329182790366,-1226.1810884722627,3983.7793145664355
2014-01-04,288.06,932.8314110257566,-1752.1754684464163,3372.372425082761
2014-01-05,19.536,987.5339361319944,-1564.7816212330551,3620.6693631863545
2014-01-06,4407.1,1046.8536209922495,-1420.7136044369688,3568.614494088745
2014-01-07,87.15799999999999,422.18755499647705,-2130.565370918859,3012.506580315732
2014-01-08,0.0,-273.0096255000887,-2849.7839591699612,2240.037572076747
2014-01-09,40.544,627.5466727668546,-1903.8321963156998,3146.0049882413505
2014-01-10,54.83,922.7179205238016,-1544.9338162392876,3583.067876368429
2014-01-11,9.94,650.9130145380601,-1924.7976795360362,3225.0916554542887
2014-01-12,0.0,746.4370279209853,-1903.9446510672005,3182.3461843304685
2014-01-13,3553.795,848.5671966754433,-1796.1714305088112,3386.8569058526664
2014-01-14,61.96,265.85140855199484,-2465.9450249541105,2726.3274278474673
2014-01-15,149.95,-387.34214239821495,-2863.381476868455,2328.157172891489
2014-01-16,299.964,559.2336223970685,-2037.8028349995745,3146.6605275832553
2014-01-17,0.0,897.1397183197021,-1711.600644874712,3504.927632112626
2014-01-18,64.864,664.0400477650751,-1793.8380265120672,3247.9286387519437
2014-01-19,378.594,796.1480463174975,-1601.1180745813397,3437.8855418897433
2014-01-20,2673.87,930.9455749081109,-1824.5444526851575,3382.3993018796496
2014-01-21,25.248,374.3105841340408,-2310.734605693074,2789.7591374213553
2014-01-22,0.0,-258.1595483648523,-2772.7802231429755,2483.9430130334467
2014-01-23,46.019999999999996,708.1909927392196,-2027.4383937218151,3094.699922388384
2014-01-24,0.0,1058.1906609213775,-1418.0637431596076,3626.42478947385
2014-01-25,0.0,829.4358522581476,-1617.5077649557968,3363.8216294861595
2014-01-26,1097.25,960.8205986921852,-1451.0691525364687,3518.88948689695
2014-01-27,426.67,1088.881050891433,-1492.9005389053082,3740.1399972724575
2014-01-28,3.928,517.7329370971605,-2006.7240468736936,3112.5413357162756
2014-01-29,0.0,-134.85240793024846,-2715.0315131368898,2536.7994660451845
2014-01-30,240.5,811.1492986053343,-1825.7654687175493,3373.8590886065813
2014-01-31,290.666,1134.785956477065,-1372.4907269778923,3700.924947136848
2014-02-01,468.9,874.5080344767626,-1680.6901165914428,3290.6994588971093
2014-02-02,211.64600000000002,972.7591334387798,-1434.008984994451,3351.5998589137776
2014-02-03,97.11200000000001,1065.9249592329732,-1382.429778934937,3732.293211654742
2014-02-04,134.38400000000001,457.0610771040128,-2043.502894616062,3184.8983318564724
2014-02-05,0.0,-233.29577677205455,-2824.611190352685,2157.7335639206894
2014-02-06,330.512,680.7130980767921,-1931.1643596464035,3219.5850196240576
2014-02-07,180.32,972.6835346357482,-1673.3392236589411,3703.764578858096
2014-02-08,14.56,682.1023483182153,-1647.5944339716912,3280.2157837126483
2014-02-09,0.0,754.9934712387056,-1778.919638602326,3261.414710106968
2014-02-10,0.0,827.4697151270657,-1728.9534409611895,3471.089271200264
2014-02-11,2043.4,201.25277804853772,-2285.25868553923,2900.5682277801884
2014-02-12,129.568,-500.7745791782074,-3194.0487433480976,2114.1857439501828
2014-02-13,0.0,412.5247984331167,-2035.9750657188558,3081.8520063697424
2014-02-14,576.726,708.6145089182588,-1796.2233816489827,3273.6291265516184
2014-02-15,21.36,427.2287270433949,-2057.735255521587,2985.9615573903593
2014-02-16,9.04,517.0919342799106,-2035.016472838115,3012.838223757147
2014-02-17,54.208,613.0937029334989,-1879.073201376888,3204.0848620464217
2014-02-18,37.784,14.622906148109022,-2681.9231999883564,2598.3678502148896
2014-02-19,0.0,-654.1161003549066,-3020.1682914065223,2110.3666485605977
2014-02-20,95.59,302.2661603727448,-2137.7461588124474,2967.244221115699
2014-02-21,8.85,644.0970401493062,-1817.7104976525945,3368.6486514448584
2014-02-22,19.44,410.3994880656252,-2051.654595383161,3081.185880805045
2014-02-23,11.364,551.7075764643552,-2111.7873893296137,3242.038201051983
2014-02-24,55.672,700.8849100447245,-1912.18734798373,3395.451906713355
2014-02-25,0.0,154.2915110255497,-2263.5114678816344,2720.2641085321857
2014-02-26,0.0,-463.12010646331686,-2888.8160297720638,2124.9207712546627
2014-02-27,19.456,547.8539703421803,-2013.2960083757198,3199.614093870083
2014-02-28,0.0,940.1123219184913,-1681.5260604925854,3656.9561131526134
2014-03-01,2203.151,751.8256646537689,-1800.620027472928,3457.8435675696314
2014-03-02,202.384,935.3508611872485,-1599.1182244738338,3591.2055997149914
2014-03-03,1345.8919999999998,1121.691977952889,-1386.3068971941816,3801.5785639975784
2014-03-04,370.452,604.4952256517912,-2007.100696762157,3162.088134657391
2014-03-05,705.562,9.916844153869961,-2659.7906511475358,2581.7490066438086
2014-03-06,0.0,1041.55995470456,-1661.1639535374989,3647.1132189776504
2014-03-07,1561.062,1445.594038708022,-1242.2400055652738,3692.8419542740476
2014-03-08,0.0,1260.1352663519694,-1171.230799965758,3788.1783250248463
